game_id,model,language,risk_probability,persona_set,persona_seats,memory_mode,framing,group_total,target,target_reached,catastrophe,mean_payoff,rep,seed
crsd_milinski_low_risk__anthropic-claude-opus-5-default__en__rep8,anthropic-claude-opus-5-default,en,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,8,12353
crsd_milinski_low_risk__anthropic-claude-opus-5-default__en__rep9,anthropic-claude-opus-5-default,en,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,9,12354
crsd_milinski_low_risk__anthropic-claude-opus-5-default__vn__rep0,anthropic-claude-opus-5-default,vn,0.1,personas_default,NNNNNN,full_history,0,124.0,120.0,1,0,19.333333333333332,0,12345
crsd_milinski_low_risk__anthropic-claude-opus-5-default__vn__rep1,anthropic-claude-opus-5-default,vn,0.1,personas_default,NNNNNN,full_history,0,130.0,120.0,1,0,18.333333333333332,1,12346
crsd_milinski_low_risk__anthropic-claude-opus-5-default__vn__rep2,anthropic-claude-opus-5-default,vn,0.1,personas_default,NNNNNN,full_history,0,128.0,120.0,1,0,18.666666666666668,2,12347
crsd_milinski_low_risk__anthropic-claude-opus-5-default__vn__rep3,anthropic-claude-opus-5-default,vn,0.1,personas_default,NNNNNN,full_history,0,126.0,120.0,1,0,19.0,3,12348
crsd_milinski_low_risk__anthropic-claude-opus-5-default__vn__rep4,anthropic-claude-opus-5-default,vn,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,4,12349
crsd_milinski_low_risk__anthropic-claude-opus-5-default__vn__rep5,anthropic-claude-opus-5-default,vn,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,5,12350
crsd_milinski_low_risk__anthropic-claude-opus-5-default__vn__rep6,anthropic-claude-opus-5-default,vn,0.1,personas_default,NNNNNN,full_history,0,122.0,120.0,1,0,19.666666666666668,6,12351
crsd_milinski_low_risk__anthropic-claude-opus-5-default__vn__rep7,anthropic-claude-opus-5-default,vn,0.1,personas_default,NNNNNN,full_history,0,120.0,120.0,1,0,20.0,7,12352
crsd_milinski_low_risk__anthropic-claude-opus-5-default__vn__rep8,anthropic-claude-opus-5-default,vn,0.1,personas_default,NNNNNN,full_history,0,122.0,120.0,1,0,19.666666666666668,8,12353
crsd_milinski_low_risk__anthropic-claude-opus-5-default__vn__rep9,anthropic-claude-opus-5-default,vn,0.1,personas_default,NNNNNN,full_history,0,124.0,120.0,1,0,19.333333333333332,9,12354
