panel,model,condition,grok_seats,estimate,ci_low,ci_high,unit,n_games,bootstrap_seed,experiments,risk_levels,games_per_risk,bootstrap_draws,ci_method
b,Claude Haiku 4.5,beside_Grok,3,19.4,18.97777777777778,19.822222222222226,mean_units_per_focal_seat_per_game,30,20261219,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Claude Haiku 4.5,beside_Grok,4,19.033333333333335,18.066666666666666,19.966666666666665,mean_units_per_focal_seat_per_game,30,20261220,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Claude Haiku 4.5,beside_Grok,5,16.066666666666666,14.866666666666667,17.133333333333333,mean_units_per_focal_seat_per_game,30,20261221,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Gemini 3.5 Flash-Lite,beside_Grok,1,19.533333333333335,19.186666666666667,19.853333333333335,mean_units_per_focal_seat_per_game,30,20261227,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Gemini 3.5 Flash-Lite,beside_Grok,2,19.05,18.716666666666665,19.366666666666667,mean_units_per_focal_seat_per_game,30,20261228,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Gemini 3.5 Flash-Lite,beside_Grok,3,17.91111111111111,16.999444444444443,18.8,mean_units_per_focal_seat_per_game,30,20261229,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Gemini 3.5 Flash-Lite,beside_Grok,4,16.266666666666666,15.4,17.133333333333333,mean_units_per_focal_seat_per_game,30,20261230,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Gemini 3.5 Flash-Lite,beside_Grok,5,14.6,13.066666666666666,16.0,mean_units_per_focal_seat_per_game,30,20261231,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,GPT-5.6 Luna,beside_Grok,1,18.746666666666666,18.160000000000004,19.280000000000005,mean_units_per_focal_seat_per_game,30,20261237,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,GPT-5.6 Luna,beside_Grok,2,18.033333333333335,17.433333333333334,18.633333333333333,mean_units_per_focal_seat_per_game,30,20261238,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,GPT-5.6 Luna,beside_Grok,3,14.288888888888888,12.622222222222224,15.866666666666667,mean_units_per_focal_seat_per_game,30,20261239,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,GPT-5.6 Luna,beside_Grok,4,12.0,10.133333333333333,13.966666666666667,mean_units_per_focal_seat_per_game,30,20261240,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,GPT-5.6 Luna,beside_Grok,5,10.533333333333333,8.466666666666667,12.666666666666666,mean_units_per_focal_seat_per_game,30,20261241,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Qwen3-235B,beside_Grok,1,19.119999999999997,18.946666666666662,19.293333333333337,mean_units_per_focal_seat_per_game,30,20261247,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Qwen3-235B,beside_Grok,2,20.583333333333332,19.933333333333334,21.266666666666666,mean_units_per_focal_seat_per_game,30,20261248,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Qwen3-235B,beside_Grok,3,20.155555555555555,19.644444444444446,20.711111111111112,mean_units_per_focal_seat_per_game,30,20261249,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Qwen3-235B,beside_Grok,4,23.4,22.533333333333335,24.3,mean_units_per_focal_seat_per_game,30,20261250,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
b,Qwen3-235B,beside_Grok,5,20.8,20.2,21.4,mean_units_per_focal_seat_per_game,30,20261251,exp_mixed,0.1;0.5;0.9,10,5000,percentile_2.5_97.5;pooled_games;not_risk_stratified
