kind,status,p,resident,entrant,entrant_seats,games,entrant_payoff,resident_table_payoff,selfplay_games,resident_selfplay,gap_selfplay,gap_table,initial_fitness_gap_N6,fixation_N6,initial_fitness_gap_N30,fixation_N30,omitted,N,beta,retained_models,mass_Haiku,mass_Flash-Lite,mass_Luna,mass_Qwen,mass_Grok,winner,winner_mass,target_rate,welfare,opt,uniform_target_rate,uniform_welfare_over_opt,stationary_residual,tree_max_error,welfare_over_opt,winner_changed
composition,ok,0.10000000000000001,Grok,Flash-Lite,5,10,20.84,11.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Grok,Flash-Lite,1,10,21.600000000000001,14.199999999999999,20,6.6833333333333327,14.916666666666668,7.4000000000000021,7.4000000000000021,0.99938909290973066,13.620689655172416,0.99999878490416494,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Luna,1,10,28.380000000000003,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Luna,2,10,25.300000000000001,12.550000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Luna,3,10,21.600000000000001,16.399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Luna,4,10,22.75,12.699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Luna,5,10,21.160000000000004,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Grok,Luna,1,10,28.380000000000003,10.6,20,6.6833333333333327,21.696666666666669,17.780000000000001,17.780000000000001,0.99999998102222165,21.02137931034483,0.99999999925778293,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Qwen,1,10,20,10.880000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Qwen,2,10,18.199999999999999,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Qwen,3,10,20.666666666666664,13.733333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Qwen,4,10,19.695,13.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.10000000000000001,Grok,Qwen,5,10,20.640000000000001,13.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.10000000000000001,Grok,Qwen,1,10,20,10.880000000000001,20,6.6833333333333327,13.316666666666666,9.1199999999999992,9.1199999999999992,0.99989035615744648,12.593103448275862,0.99999660463066264,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Flash-Lite,1,10,20.800000000000001,18.559999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Flash-Lite,2,10,20.5,18.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Flash-Lite,3,10,20.533333333333335,17.733333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Flash-Lite,4,10,19.800000000000001,18.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Flash-Lite,5,10,20.039999999999999,19.399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Haiku,Flash-Lite,1,10,20.800000000000001,18.559999999999999,20,18.750000000000004,2.0499999999999972,2.240000000000002,2.240000000000002,0.8899333960119995,2.0827586206896527,0.87498219646572217,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Luna,1,10,21.399999999999999,17.380000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Luna,2,10,20.600000000000001,17.324999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Luna,3,10,17.333333333333332,13.966666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Luna,4,10,16.899999999999999,14.050000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Luna,5,10,16.140000000000001,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Haiku,Luna,1,10,21.399999999999999,17.380000000000003,20,18.750000000000004,2.649999999999995,4.019999999999996,4.019999999999996,0.98168464768673058,2.8862068965517196,0.94440743892797197,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Qwen,1,10,20.600000000000001,18.759999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Qwen,2,10,15.85,18.550000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Qwen,3,10,17.700000000000003,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Qwen,4,10,16.225000000000001,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Qwen,5,10,13.819999999999999,11.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Haiku,Qwen,1,10,20.600000000000001,18.759999999999998,20,18.750000000000004,1.8499999999999979,1.8400000000000034,1.8400000000000034,0.20638989845948982,1.8482758620689665,2.6025416118051022e-10,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Grok,1,10,14.800000000000001,18.920000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Grok,2,10,12.699999999999999,19.899999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Grok,3,10,13.199999999999999,20.93333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Grok,4,10,11.449999999999999,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Haiku,Grok,5,10,7.1199999999999992,24.399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Haiku,Grok,1,10,14.800000000000001,18.920000000000002,20,18.750000000000004,-3.9500000000000028,-4.120000000000001,-4.120000000000001,1.1833725975020348e-20,-3.9793103448275886,1.0325670680539825e-122,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Haiku,1,10,19.399999999999999,20.039999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Haiku,2,10,18.300000000000001,19.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Haiku,3,10,17.733333333333334,20.533333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Haiku,4,10,18.600000000000001,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Haiku,5,10,18.559999999999999,20.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Flash-Lite,Haiku,1,10,19.399999999999999,20.039999999999999,20,20,-0.60000000000000142,-0.64000000000000057,-0.64000000000000057,0.00010138264300316342,-0.60689655172414092,1.1312467081907666e-22,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Luna,1,10,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Luna,2,10,18.100000000000001,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Luna,3,10,19.066666666666666,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Luna,4,10,19,18.949999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Luna,5,10,19.039999999999999,18.899999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Flash-Lite,Luna,1,10,20,20,20,20,0,0,0,0.19023981257880404,0,0.00016407460819171135,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Qwen,1,10,14.4,13.959999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Qwen,2,10,10.85,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Qwen,3,10,10.866666666666667,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Qwen,4,10,10.975,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Qwen,5,10,10.580000000000002,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Flash-Lite,Qwen,1,10,14.4,13.959999999999999,20,20,-5.5999999999999996,0.44000000000000128,0.44000000000000128,0.47548875893500703,-4.5586206896551733,9.3791461083282613e-14,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Grok,1,10,15.199999999999999,20.359999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Grok,2,10,13.1,20.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Grok,3,10,14.666666666666668,21.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Grok,4,10,8.3499999999999996,23.699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Flash-Lite,Grok,5,10,8.2400000000000002,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Flash-Lite,Grok,1,10,15.199999999999999,20.359999999999999,20,20,-4.8000000000000007,-5.1600000000000001,-5.1600000000000001,4.8200794897092834e-23,-4.862068965517242,7.80026519673622e-137,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Haiku,1,10,14.9,16.140000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Haiku,2,10,14.050000000000001,16.899999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
